ID;TIMESTAMP;presure;sound
1;2014-02-13T11:30:00;38;10
2;2014-02-13T11:35:00;38;10
3;2014-02-13T11:40:00;47;10
4;2014-02-13T11:45:00;54;10
5;2014-02-13T11:50:00;62;10
6;2014-02-13T11:55:00;62;32
7;2014-02-13T12:00:00;50;32
8;2014-02-13T12:05:00;38;32
9;2014-02-13T12:10:00;38;10
10;2014-02-13T12:15:00;38;10
11;2014-02-13T12:20:00;47;10
12;2014-02-13T12:25:00;55;10
13;2014-02-13T12:30:00;47;10
14;2014-02-13T12:35:00;57;10
15;2014-02-13T12:40:00;38;10
16;2014-02-13T12:45:00;38;10
17;2014-02-13T12:50:00;47;10
18;2014-02-13T12:55:00;54;10
19;2014-02-13T13:00:00;62;10
20;2014-02-13T13:05:00;62;10
21;2014-02-13T13:10:00;62;10
22;2014-02-13T13:15:00;62;10
23;2014-02-13T13:20:00;62;32
24;2014-02-13T13:25:00;50;32
25;2014-02-13T13:30:00;38;32
26;2014-02-13T13:35:00;38;10
27;2014-02-13T13:40:00;38;10
28;2014-02-13T13:45:00;38;10
29;2014-02-13T13:50:00;47;10
30;2014-02-13T13:55:00;54;10
31;2014-02-13T14:00:00;62;10
32;2014-02-13T14:05:00;62;32
33;2014-02-13T14:10:00;60;32
34;2014-02-13T14:15:00;57;32
35;2014-02-13T14:20:00;52;32
36;2014-02-13T14:25:00;47;32
37;2014-02-13T14:30:00;42;32
38;2014-02-13T14:35:00;38;32
39;2014-02-13T14:40:00;38;10
40;2014-02-13T14:45:00;38;10
41;2014-02-13T14:50:00;47;10
42;2014-02-13T14:55:00;54;10
43;2014-02-13T15:00:00;62;10
44;2014-02-13T15:05:00;62;10
45;2014-02-13T15:10:00;62;10
46;2014-02-13T15:15:00;62;10
47;2014-02-13T15:20:00;62;10
48;2014-02-13T15:25:00;62;10
49;2014-02-13T15:30:00;62;10
50;2014-02-13T15:35:00;62;10
